ToyId,Arrival_time,Duration
1,2014 1 1 0 1,5
2,2014 1 1 0 1,5
3,2014 1 1 0 1,5
4,2014 1 1 0 1,6
5,2014 1 1 0 1,6
6,2014 1 1 0 1,12
7,2014 1 1 0 1,17
8,2014 1 1 0 1,42
9,2014 1 1 0 1,52
10,2014 1 1 0 1,58
11,2014 1 1 0 2,2
12,2014 1 1 0 2,3
13,2014 1 1 0 2,3
14,2014 1 1 0 2,4
15,2014 1 1 0 2,5
16,2014 1 1 0 2,5
17,2014 1 1 0 2,6
18,2014 1 1 0 2,13
19,2014 1 1 0 2,13
20,2014 1 1 0 2,15
21,2014 1 1 0 2,18
22,2014 1 1 0 2,20
23,2014 1 1 0 2,51
24,2014 1 1 0 2,71
25,2014 1 1 0 2,110
26,2014 1 1 0 3,1
27,2014 1 1 0 3,5
28,2014 1 1 0 3,7
29,2014 1 1 0 3,8
30,2014 1 1 0 3,9
31,2014 1 1 0 3,10
32,2014 1 1 0 3,11
33,2014 1 1 0 3,64
34,2014 1 1 0 3,118
35,2014 1 1 0 4,1
36,2014 1 1 0 4,3
37,2014 1 1 0 4,3
38,2014 1 1 0 4,3
39,2014 1 1 0 4,5
40,2014 1 1 0 4,6
41,2014 1 1 0 4,7
42,2014 1 1 0 4,8
43,2014 1 1 0 4,9
44,2014 1 1 0 4,10
45,2014 1 1 0 4,13
46,2014 1 1 0 4,20
47,2014 1 1 0 4,22
48,2014 1 1 0 4,47
49,2014 1 1 0 4,53
50,2014 1 1 0 4,74
51,2014 1 1 0 4,108
52,2014 1 1 0 5,2
53,2014 1 1 0 5,2
54,2014 1 1 0 5,3
55,2014 1 1 0 5,6
56,2014 1 1 0 5,6
57,2014 1 1 0 5,9
58,2014 1 1 0 5,11
59,2014 1 1 0 5,12
60,2014 1 1 0 5,20
61,2014 1 1 0 5,20
62,2014 1 1 0 5,29
63,2014 1 1 0 5,39
64,2014 1 1 0 5,124
65,2014 1 1 0 6,2
66,2014 1 1 0 6,5
67,2014 1 1 0 6,6
68,2014 1 1 0 6,6
69,2014 1 1 0 6,7
70,2014 1 1 0 6,8
71,2014 1 1 0 6,9
72,2014 1 1 0 6,16
73,2014 1 1 0 6,25
74,2014 1 1 0 6,29
75,2014 1 1 0 6,37
76,2014 1 1 0 6,38
77,2014 1 1 0 7,3
78,2014 1 1 0 7,8
79,2014 1 1 0 7,14
80,2014 1 1 0 7,19
81,2014 1 1 0 7,27
82,2014 1 1 0 8,3
83,2014 1 1 0 8,4
84,2014 1 1 0 8,6
85,2014 1 1 0 8,7
86,2014 1 1 0 8,8
87,2014 1 1 0 8,13
88,2014 1 1 0 8,17
89,2014 1 1 0 8,17
90,2014 1 1 0 8,23
91,2014 1 1 0 8,25
92,2014 1 1 0 8,27
93,2014 1 1 0 8,44
94,2014 1 1 0 8,56
95,2014 1 1 0 9,3
96,2014 1 1 0 9,3
97,2014 1 1 0 9,4
98,2014 1 1 0 9,5
99,2014 1 1 0 9,5
100,2014 1 1 0 9,7
101,2014 1 1 0 9,10
102,2014 1 1 0 9,27
103,2014 1 1 0 9,31
104,2014 1 1 0 9,33
105,2014 1 1 0 9,40
106,2014 1 1 0 9,158
107,2014 1 1 0 9,200
108,2014 1 1 0 9,218
109,2014 1 1 0 10,6
110,2014 1 1 0 10,32
111,2014 1 1 0 11,3
112,2014 1 1 0 11,5
113,2014 1 1 0 11,10
114,2014 1 1 0 11,11
115,2014 1 1 0 11,11
116,2014 1 1 0 11,12
117,2014 1 1 0 11,15
118,2014 1 1 0 11,18
119,2014 1 1 0 11,19
120,2014 1 1 0 11,21
121,2014 1 1 0 11,31
122,2014 1 1 0 11,36
123,2014 1 1 0 11,119
124,2014 1 1 0 12,3
125,2014 1 1 0 12,4
126,2014 1 1 0 12,4
127,2014 1 1 0 12,5
128,2014 1 1 0 12,10
129,2014 1 1 0 12,10
130,2014 1 1 0 12,11
131,2014 1 1 0 12,11
132,2014 1 1 0 12,12
133,2014 1 1 0 12,12
134,2014 1 1 0 12,16
135,2014 1 1 0 12,21
136,2014 1 1 0 12,23
137,2014 1 1 0 12,29
138,2014 1 1 0 12,32
139,2014 1 1 0 12,94
140,2014 1 1 0 12,96
141,2014 1 1 0 12,106
142,2014 1 1 0 13,3
143,2014 1 1 0 13,8
144,2014 1 1 0 13,9
145,2014 1 1 0 13,13
146,2014 1 1 0 13,15
147,2014 1 1 0 13,15
148,2014 1 1 0 13,18
149,2014 1 1 0 13,20
150,2014 1 1 0 13,24
151,2014 1 1 0 13,28
152,2014 1 1 0 13,72
153,2014 1 1 0 13,75
154,2014 1 1 0 13,137
155,2014 1 1 0 13,159
156,2014 1 1 0 14,3
157,2014 1 1 0 14,5
158,2014 1 1 0 14,5
159,2014 1 1 0 14,9
160,2014 1 1 0 14,14
161,2014 1 1 0 14,21
162,2014 1 1 0 14,30
163,2014 1 1 0 14,52
164,2014 1 1 0 14,60
165,2014 1 1 0 14,60
166,2014 1 1 0 14,65
167,2014 1 1 0 15,3
168,2014 1 1 0 15,13
169,2014 1 1 0 15,14
170,2014 1 1 0 15,14
171,2014 1 1 0 15,21
172,2014 1 1 0 15,28
173,2014 1 1 0 15,29
174,2014 1 1 0 15,32
175,2014 1 1 0 15,34
176,2014 1 1 0 15,36
177,2014 1 1 0 15,41
178,2014 1 1 0 15,42
179,2014 1 1 0 15,47
180,2014 1 1 0 15,77
181,2014 1 1 0 15,83
182,2014 1 1 0 15,298
183,2014 1 1 0 16,1
184,2014 1 1 0 16,2
185,2014 1 1 0 16,4
186,2014 1 1 0 16,4
187,2014 1 1 0 16,5
188,2014 1 1 0 16,5
189,2014 1 1 0 16,6
190,2014 1 1 0 16,7
191,2014 1 1 0 16,10
192,2014 1 1 0 16,11
193,2014 1 1 0 16,12
194,2014 1 1 0 16,16
195,2014 1 1 0 16,24
196,2014 1 1 0 16,30
197,2014 1 1 0 16,54
198,2014 1 1 0 16,71
199,2014 1 1 0 16,81
200,2014 1 1 0 17,2
201,2014 1 1 0 17,7
202,2014 1 1 0 17,7
203,2014 1 1 0 17,10
204,2014 1 1 0 17,11
205,2014 1 1 0 17,12
206,2014 1 1 0 17,15
207,2014 1 1 0 17,21
208,2014 1 1 0 17,22
209,2014 1 1 0 18,1
210,2014 1 1 0 18,2
211,2014 1 1 0 18,2
212,2014 1 1 0 18,4
213,2014 1 1 0 18,10
214,2014 1 1 0 18,12
215,2014 1 1 0 18,15
216,2014 1 1 0 18,20
217,2014 1 1 0 18,21
218,2014 1 1 0 18,22
219,2014 1 1 0 18,55
220,2014 1 1 0 18,112
221,2014 1 1 0 19,2
222,2014 1 1 0 19,3
223,2014 1 1 0 19,5
224,2014 1 1 0 19,6
225,2014 1 1 0 19,7
226,2014 1 1 0 19,7
227,2014 1 1 0 19,8
228,2014 1 1 0 19,9
229,2014 1 1 0 19,12
230,2014 1 1 0 19,16
231,2014 1 1 0 19,24
232,2014 1 1 0 19,29
233,2014 1 1 0 19,35
234,2014 1 1 0 19,37
235,2014 1 1 0 19,48
236,2014 1 1 0 19,98
237,2014 1 1 0 20,3
238,2014 1 1 0 20,4
239,2014 1 1 0 20,6
240,2014 1 1 0 20,7
241,2014 1 1 0 20,7
242,2014 1 1 0 20,18
243,2014 1 1 0 20,18
244,2014 1 1 0 20,22
245,2014 1 1 0 20,29
246,2014 1 1 0 20,49
247,2014 1 1 0 20,49
248,2014 1 1 0 20,52
249,2014 1 1 0 20,134
250,2014 1 1 0 21,1
251,2014 1 1 0 21,2
252,2014 1 1 0 21,7
253,2014 1 1 0 21,7
254,2014 1 1 0 21,10
255,2014 1 1 0 21,12
256,2014 1 1 0 21,18
257,2014 1 1 0 21,102
258,2014 1 1 0 22,1
259,2014 1 1 0 22,1
260,2014 1 1 0 22,2
261,2014 1 1 0 22,4
262,2014 1 1 0 22,9
263,2014 1 1 0 22,12
264,2014 1 1 0 22,21
265,2014 1 1 0 22,25
266,2014 1 1 0 22,32
267,2014 1 1 0 22,36
268,2014 1 1 0 22,37
269,2014 1 1 0 22,51
270,2014 1 1 0 22,66
271,2014 1 1 0 22,120
272,2014 1 1 0 23,1
273,2014 1 1 0 23,2
274,2014 1 1 0 23,2
275,2014 1 1 0 23,2
276,2014 1 1 0 23,7
277,2014 1 1 0 23,8
278,2014 1 1 0 23,8
279,2014 1 1 0 23,18
280,2014 1 1 0 23,49
281,2014 1 1 0 23,161
282,2014 1 1 0 24,2
283,2014 1 1 0 24,4
284,2014 1 1 0 24,4
285,2014 1 1 0 24,7
286,2014 1 1 0 24,8
287,2014 1 1 0 24,14
288,2014 1 1 0 24,17
289,2014 1 1 0 24,22
290,2014 1 1 0 24,31
291,2014 1 1 0 24,51
292,2014 1 1 0 24,119
293,2014 1 1 0 25,4
294,2014 1 1 0 25,5
295,2014 1 1 0 25,6
296,2014 1 1 0 25,7
297,2014 1 1 0 25,7
298,2014 1 1 0 25,11
299,2014 1 1 0 25,12
300,2014 1 1 0 25,46
301,2014 1 1 0 25,66
302,2014 1 1 0 26,4
303,2014 1 1 0 26,8
304,2014 1 1 0 26,22
305,2014 1 1 0 26,23
306,2014 1 1 0 27,2
307,2014 1 1 0 27,9
308,2014 1 1 0 27,14
309,2014 1 1 0 27,19
310,2014 1 1 0 27,19
311,2014 1 1 0 27,58
312,2014 1 1 0 27,90
313,2014 1 1 0 28,2
314,2014 1 1 0 28,2
315,2014 1 1 0 28,2
316,2014 1 1 0 28,2
317,2014 1 1 0 28,2
318,2014 1 1 0 28,5
319,2014 1 1 0 28,6
320,2014 1 1 0 28,6
321,2014 1 1 0 28,6
322,2014 1 1 0 28,8
323,2014 1 1 0 28,10
324,2014 1 1 0 28,10
325,2014 1 1 0 28,15
326,2014 1 1 0 28,16
327,2014 1 1 0 28,22
328,2014 1 1 0 28,32
329,2014 1 1 0 28,74
330,2014 1 1 0 28,77
331,2014 1 1 0 29,2
332,2014 1 1 0 29,5
333,2014 1 1 0 29,7
334,2014 1 1 0 29,7
335,2014 1 1 0 29,16
336,2014 1 1 0 29,20
337,2014 1 1 0 29,71
338,2014 1 1 0 29,98
339,2014 1 1 0 30,1
340,2014 1 1 0 30,2
341,2014 1 1 0 30,4
342,2014 1 1 0 30,4
343,2014 1 1 0 30,7
344,2014 1 1 0 30,8
345,2014 1 1 0 30,13
346,2014 1 1 0 30,16
347,2014 1 1 0 30,22
348,2014 1 1 0 30,33
349,2014 1 1 0 30,37
350,2014 1 1 0 30,57
351,2014 1 1 0 31,2
352,2014 1 1 0 31,2
353,2014 1 1 0 31,2
354,2014 1 1 0 31,3
355,2014 1 1 0 31,4
356,2014 1 1 0 31,4
357,2014 1 1 0 31,7
358,2014 1 1 0 31,8
359,2014 1 1 0 31,13
360,2014 1 1 0 31,13
361,2014 1 1 0 31,13
362,2014 1 1 0 31,20
363,2014 1 1 0 31,30
364,2014 1 1 0 31,34
365,2014 1 1 0 31,35
366,2014 1 1 0 31,48
367,2014 1 1 0 31,53
368,2014 1 1 0 31,62
369,2014 1 1 0 31,86
370,2014 1 1 0 32,3
371,2014 1 1 0 32,3
372,2014 1 1 0 32,5
373,2014 1 1 0 32,9
374,2014 1 1 0 32,9
375,2014 1 1 0 32,12
376,2014 1 1 0 32,14
377,2014 1 1 0 32,22
378,2014 1 1 0 32,73
379,2014 1 1 0 33,1
380,2014 1 1 0 33,4
381,2014 1 1 0 33,5
382,2014 1 1 0 33,5
383,2014 1 1 0 33,12
384,2014 1 1 0 33,14
385,2014 1 1 0 33,15
386,2014 1 1 0 33,15
387,2014 1 1 0 33,19
388,2014 1 1 0 33,25
389,2014 1 1 0 33,27
390,2014 1 1 0 33,28
391,2014 1 1 0 33,37
392,2014 1 1 0 33,45
393,2014 1 1 0 33,62
394,2014 1 1 0 33,126
395,2014 1 1 0 33,315
396,2014 1 1 0 34,2
397,2014 1 1 0 34,2
398,2014 1 1 0 34,4
399,2014 1 1 0 34,4
400,2014 1 1 0 34,4
401,2014 1 1 0 34,5
402,2014 1 1 0 34,6
403,2014 1 1 0 34,10
404,2014 1 1 0 34,13
405,2014 1 1 0 34,20
406,2014 1 1 0 34,32
407,2014 1 1 0 34,45
408,2014 1 1 0 34,50
409,2014 1 1 0 34,91
410,2014 1 1 0 34,219
411,2014 1 1 0 35,3
412,2014 1 1 0 35,4
413,2014 1 1 0 35,4
414,2014 1 1 0 35,5
415,2014 1 1 0 35,6
416,2014 1 1 0 35,6
417,2014 1 1 0 35,15
418,2014 1 1 0 35,16
419,2014 1 1 0 35,18
420,2014 1 1 0 35,22
421,2014 1 1 0 35,42
422,2014 1 1 0 35,42
423,2014 1 1 0 35,115
424,2014 1 1 0 36,1
425,2014 1 1 0 36,4
426,2014 1 1 0 36,4
427,2014 1 1 0 36,5
428,2014 1 1 0 36,10
429,2014 1 1 0 36,11
430,2014 1 1 0 36,12
431,2014 1 1 0 36,14
432,2014 1 1 0 36,17
433,2014 1 1 0 36,18
434,2014 1 1 0 36,19
435,2014 1 1 0 36,56
436,2014 1 1 0 36,59
437,2014 1 1 0 36,68
438,2014 1 1 0 36,70
